New_LN_FN,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
ABDUL HADI,ABDUL,HADI,w,MAS,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,76.0,4.8,6.766,0.0,11.566
ABDUL HADI,ABDUL,HADI,w,MAS,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,64.0,4.6,7.633,0.0,12.233
ABDUL HADI,ABDUL,HADI,w,MAS,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,74.0,5.1,6.5,0.0,11.6
ABDUL HADI,ABDUL,HADI,w,MAS,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,72.0,4.6,8.566,0.0,13.166
ABDUL HADI FARAH ANN,ABDUL HADI,Farah Ann,w,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,76.0,4.8,6.766,0.0,11.566
ABDUL HADI FARAH ANN,ABDUL HADI,Farah Ann,w,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,64.0,4.6,7.633,0.0,12.233
ABDUL HADI FARAH ANN,ABDUL HADI,Farah Ann,w,MAS,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,74.0,5.1,6.5,0.0,11.6
ADLERTEG JONNA,ADLERTEG,Jonna,w,SWE,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,12.0,6.3,8.233,0.0,14.533
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,59.0,5.1,7.166,0.0,12.266
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,59.0,5.1,7.166,0.0,12.266
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",BB,,5.1,7.166,0.0,12.266
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,11.0,5.8,7.833,0.0,13.633
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,11.0,5.8,7.833,0.0,13.633
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",FX,,5.8,7.833,0.0,13.633
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",UB,,5.4,7.5,0.0,12.9
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,49.0,5.4,7.5,0.0,12.9
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,49.0,5.4,7.5,0.0,12.9
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,10.0,5.8,8.966,0.0,14.766
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,TeamQual,"Tokyo, Japan",VT,,5.8,8.966,0.0,14.766
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-08-01,Olympic Games,TeamFinal,"Tokyo, Japan",VT,,5.8,8.933,0.0,14.733
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT1,7.0,5.8,8.966,0.0,14.766
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT1,6.0,5.8,8.866,0.1,14.666
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",VT2,7.0,5.6,9.033,0.0,14.633
AKHAIMOVA LILIIA,AKHAIMOVA,Liliia,w,ROC,2021-08-01,Olympic Games,final,"Tokyo, Japan",VT2,6.0,5.6,9.066,0.0,14.666
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,37.0,5.3,7.666,0.0,12.966
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,37.0,5.3,7.666,0.0,12.966
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",FX,66.0,4.7,7.466,0.0,12.166
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",FX,66.0,4.7,7.466,0.0,12.166
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",UE,55.0,4.9,7.841,0.0,12.741
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,qual,"Tokyo, Japan",UE,55.0,4.9,7.841,0.0,12.741
ALVARADO LUCIANA,ALVARADO,Luciana,w,CRC,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",VT,59.0,4.6,8.833,0.0,13.433
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",BB,5.0,5.7,7.966,0.0,13.666
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,AAqual,"Tokyo, Japan",BB,18.0,5.8,7.933,0.0,13.733
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-25,Olympic Games,qual,"Tokyo, Japan",BB,18.0,5.8,7.933,0.0,13.733
ANDRADE REBECA,ANDRADE,Rebeca,w,BRA,2021-07-29,Olympic Games,AAfinal,"Tokyo, Japan",FX,7.0,5.9,8.166,0.4,13.666
