New_LN_FN,LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
AAS FREDRIK,AAS,Fredrik,m,NOR,2024-02-27,2022 Cottbus World Cup,qual,"Cottbus, Germany",HB,18.0,3.9,8.266,0.0,12.166
AAS FREDRIK,AAS,Fredrik,m,NOR,2024-02-27,2022 Cottbus World Cup,qual,"Cottbus, Germany",PB,23.0,3.9,6.9,0.0,10.8
AAS FREDRIK,AAS,Fredrik,m,NOR,2024-02-27,2022 Cottbus World Cup,qual,"Cottbus, Germany",PH,33.0,4.2,6.666,0.0,10.866
AAS FREDRIK,AAS,Fredrik,m,NOR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,0.0,11.3
AAS FREDRIK,AAS,Fredrik,m,NOR,2023-02-26,2023 Cottbus World Cup,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,0.0,12.2
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",FX,54.0,4.0,8.566,0.0,12.566
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",HB,44.0,4.6,8.166,0.0,12.766
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",PB,54.0,4.4,8.066,0.0,12.466
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",PH,58.0,4.4,7.266,0.0,11.666
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",SR,73.0,3.5,8.366,0.0,11.866
AAS FREDRIK,AAS,Fredrik,m,NOR,2001-08-05,2023 FISU World University Games,qual,"Chengdu, China",VT1,69.0,4.0,8.966,0.0,12.966
ABAD NESTOR,ABAD,Nestor,m,ESP,,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",FX,13.0,5.5,8.3,0.0,13.8
ABAD NESTOR,ABAD,Nestor,m,ESP,,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,48.0,5.5,7.9,0.0,13.4
ABAD NESTOR,ABAD,Nestor,m,ESP,,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,"Liverpool, England",HB,10.0,5.3,8.133,0.0,13.433
