Name,Country,Matches Participated,Average D_Score,D_Score Variance,Average E_Score,E_Score Variance,Average Penalty,Penalty Variance,Mean,Std,Apparatus_FX,Apparatus_HB,Apparatus_PB,Apparatus_PH,Apparatus_SR,Apparatus_VT
HASHIMOTO DAIKI,JPN,13,6.0076923076923086,0.016094674556213044,8.384384615384615,0.15522808284023654,-0.007692307692307693,0.0022485207100591724,14.369,0.465936,1,0,0,0,0,0
HASHIMOTO DAIKI,JPN,12,6.05,0.10916666666666668,8.085583333333334,0.5092850763888891,0.0,0.0,14.135583,0.970315,0,0,0,1,0,0
HASHIMOTO DAIKI,JPN,10,5.719999999999999,0.027600000000000024,8.193000000000001,0.029291199999999934,0.0,0.0,13.913,0.206185,0,0,0,0,1,0
HASHIMOTO DAIKI,JPN,9,5.6,0.0,9.151555555555555,0.052700246913580204,0.05555555555555555,0.01802469135802469,14.673778,0.333807,0,0,0,0,0,1
HASHIMOTO DAIKI,JPN,10,5.78,1.1256,8.699900000000001,0.16088448999999988,0.6,3.2400000000000007,13.8799,3.204107,0,0,1,0,0,0
HASHIMOTO DAIKI,JPN,15,6.326666666666667,0.10195555555555554,8.4064,0.07261250666666667,0.0,0.0,14.733067,0.514225,0,1,0,0,0,0
XIAO RUOTENG,CHN,6,6.083333333333333,0.03472222222222223,8.121666666666666,0.5132938888888892,0.0,0.0,14.205,0.854989,1,0,0,0,0,0
XIAO RUOTENG,CHN,5,6.04,0.1224000000000001,8.033199999999999,0.32560896000000006,0.0,0.0,14.0732,0.751049,0,0,0,1,0,0
XIAO RUOTENG,CHN,3,6.0,0.0,8.310999999999998,0.024642000000000025,0.0,0.0,14.311,0.156981,0,0,0,0,1,0
XIAO RUOTENG,CHN,3,6.400000000000001,7.888609052210118e-31,8.988666666666667,0.0002568888888888994,0.0,0.0,15.388667,0.016059,0,0,1,0,0,0
XIAO RUOTENG,CHN,5,5.92,0.013599999999999982,7.946,0.7176000000000001,-0.06,0.014400000000000001,13.806,0.823651,0,1,0,0,0,0
NAGORNYY NIKITA,ROC,4,6.25,0.007500000000000014,8.28275,0.6091916874999996,-0.05,0.007500000000000003,14.40775,0.816627,1,0,0,0,0,0
NAGORNYY NIKITA,ROC,3,6.166666666666667,0.002222222222222246,8.166,0.0,0.0,0.0,14.332667,0.047151,0,0,0,1,0,0
NAGORNYY NIKITA,ROC,3,6.0,0.0,8.444,0.024642000000000025,0.0,0.0,14.444,0.156981,0,0,0,0,1,0
NAGORNYY NIKITA,ROC,6,5.6000000000000005,7.888609052210118e-31,9.1665,0.011451916666666727,0.0,0.0,14.7665,0.107018,0,0,0,0,0,1
NAGORNYY NIKITA,ROC,3,6.2,0.020000000000000094,8.910666666666666,0.003990222222222242,0.0,0.0,15.110667,0.204592,0,0,1,0,0,0
NAGORNYY NIKITA,ROC,4,6.0,0.0,8.45775,0.0035541874999999905,0.0,0.0,14.45775,0.059625,0,1,0,0,0,0
SUN WEI,CHN,8,5.762499999999999,0.04984375000000001,8.07475,0.3528514375000003,0.0625,0.00984375,13.77475,0.700876,1,0,0,0,0,0
SUN WEI,CHN,9,6.211111111111111,0.018765432098765442,7.547666666666667,0.8574886666666666,0.0,0.0,13.758778,0.937097,0,0,0,1,0,0
SUN WEI,CHN,6,5.8999999999999995,7.888609052210118e-31,8.166166666666667,0.04887780555555558,0.0,0.0,14.066167,0.221086,0,0,0,0,1,0
SUN WEI,CHN,7,5.6000000000000005,7.888609052210118e-31,8.847285714285714,0.18495791836734712,0.1142857142857143,0.02693877551020408,14.304429,0.528262,0,0,0,0,0,1
SUN WEI,CHN,6,6.300000000000001,0.04000000000000007,8.466333333333331,0.03701855555555547,0.0,0.0,14.766333,0.348453,0,0,1,0,0,0
SUN WEI,CHN,9,6.188888888888888,0.029876543209876608,8.059,0.06116111111111103,0.0,0.0,14.247889,0.381714,0,1,0,0,0,0
KITAZONO TAKERU,JPN,7,5.885714285714286,0.07836734693877553,8.247285714285713,0.16787220408163245,0.042857142857142864,0.005306122448979592,14.090143,0.67921,1,0,0,0,0,0
KITAZONO TAKERU,JPN,7,5.785714285714286,0.04408163265306118,8.118714285714285,0.2720150612244895,0.0,0.0,13.904429,0.615261,0,0,0,1,0,0
KITAZONO TAKERU,JPN,8,5.1,0.22500000000000014,8.262125,0.778432359375,0.0,0.0,13.362125,0.644832,0,0,0,0,1,0
KITAZONO TAKERU,JPN,3,5.599999999999999,7.888609052210118e-31,8.999666666666668,0.014081555555555542,0.0,0.0,14.599667,0.11867,0,0,0,0,0,1
KITAZONO TAKERU,JPN,9,6.111111111111111,0.174320987654321,8.147888888888891,1.7686598765432096,0.0,0.0,14.259,1.658542,0,0,1,0,0,0
KITAZONO TAKERU,JPN,10,5.85,0.07849999999999993,7.8496,0.5319800400000001,0.0,0.0,13.6996,0.802621,0,1,0,0,0,0
DALALOYAN ARTUR,ROC,3,5.7,0.0,8.15,0.04499999999999985,-0.03333333333333333,0.002222222222222223,13.816667,0.164995,1,0,0,0,0,0
DALALOYAN ARTUR,ROC,3,5.8,0.0,8.033333333333333,0.0022222222222222066,0.0,0.0,13.833333,0.047151,0,0,0,1,0,0
DALALOYAN ARTUR,ROC,3,6.0,0.0,8.555333333333333,0.006123555555555583,0.0,0.0,14.555333,0.07826,0,0,0,0,1,0
DALALOYAN ARTUR,ROC,2,5.6,0.0,8.962,0.009216000000000016,0.0,0.0,14.562,0.096005,0,0,0,0,0,1
DALALOYAN ARTUR,ROC,3,6.400000000000001,7.888609052210118e-31,8.766333333333334,0.008888888888888984,0.0,0.0,15.166333,0.094286,0,0,1,0,0,0
DALALOYAN ARTUR,ROC,3,5.8999999999999995,0.019999999999999976,8.188333333333334,0.029930888888888743,0.0,0.0,14.088333,0.0316,0,1,0,0,0,0
TANG CHIA HUNG,TPE,13,5.5,0.00923076923076922,8.603615384615386,0.15065285207100584,0.0,0.0,14.103615,0.352867,1,0,0,0,0,0
TANG CHIA HUNG,TPE,8,4.85,0.02249999999999997,8.2375,0.19793824999999987,0.0,0.0,13.0875,0.420374,0,0,0,1,0,0
TANG CHIA HUNG,TPE,6,5.449999999999999,0.002499999999999982,8.271833333333333,0.054703138888888815,0.0,0.0,13.721833,0.268739,0,0,0,0,1,0
TANG CHIA HUNG,TPE,4,5.0,0.04000000000000007,9.18325,0.0024916875000000165,0.0,0.0,14.18325,0.236205,0,0,0,0,0,1
TANG CHIA HUNG,TPE,7,4.857142857142856,0.002448979591836761,8.690142857142856,0.20041097959183696,0.0,0.0,13.547286,0.408431,0,0,1,0,0,0
TANG CHIA HUNG,TPE,11,5.609090909090909,0.04082644628099171,7.709,0.580208,0.02727272727272727,0.007438016528925618,13.290818,0.905602,0,1,0,0,0,0
HALL JAMES,GBR,11,5.854545454545454,0.002479338842975233,8.049636363636361,0.13346677685950428,-0.018181818181818184,0.008760330578512396,13.849636,0.344007,1,0,0,0,0,0
HALL JAMES,GBR,15,5.913333333333333,0.0664888888888889,7.508666666666667,0.32887462222222225,0.0,0.0,13.422,0.744339,0,0,0,1,0,0
HALL JAMES,GBR,13,5.253846153846155,0.03171597633136091,8.367615384615386,0.03276423668639052,0.0,0.0,13.621462,0.177503,0,0,0,0,1,0
HALL JAMES,GBR,7,5.2,0.04571428571428569,8.952285714285715,0.13874877551020415,0.05714285714285715,0.011020408163265303,14.095143,0.386157,0,0,0,0,0,1
HALL JAMES,GBR,13,5.923076923076923,0.027928994082840226,8.209923076923078,0.2746760710059171,0.0,0.0,14.133,0.501055,0,0,1,0,0,0
HALL JAMES,GBR,15,5.613333333333332,0.05982222222222215,8.013066666666667,0.37513459555555567,0.0,0.0,13.6264,0.663583,0,1,0,0,0,0
FRASER JOE,GBR,7,5.728571428571429,0.004897959183673468,8.133000000000001,0.05519057142857157,0.042857142857142864,0.005306122448979592,13.818714,0.329786,1,0,0,0,0,0
FRASER JOE,GBR,14,6.049999999999999,0.04107142857142856,7.755642857142857,0.9488286581632653,0.0,0.0,13.805643,1.129795,0,0,0,1,0,0
FRASER JOE,GBR,11,5.609090909090909,0.03355371900826449,8.537727272727272,0.0494969256198347,0.0,0.0,14.146818,0.259234,0,0,0,0,1,0
FRASER JOE,GBR,6,5.266666666666667,0.022222222222222168,8.660833333333334,0.21650313888888884,-0.016666666666666663,0.04805555555555555,13.744167,0.565615,0,0,0,0,0,1
FRASER JOE,GBR,17,6.411764705882353,0.041038062283737,8.32229411764706,0.5762880899653978,0.0,0.0,14.734059,0.880262,0,0,1,0,0,0
FRASER JOE,GBR,14,5.814285714285715,0.11265306122448977,8.032000000000002,0.3348467142857143,0.0,0.0,13.846286,0.715552,0,1,0,0,0,0
MALONE BRODY,USA,10,5.840000000000001,0.05439999999999996,7.959700000000001,0.29456721,0.0,0.004000000000000001,13.7597,0.633015,1,0,0,0,0,0
MALONE BRODY,USA,13,5.815384615384615,0.028994082840236652,7.885692307692308,0.40651759763313616,0.0,0.0,13.701077,0.64616,0,0,0,1,0,0
MALONE BRODY,USA,13,5.7153846153846155,0.02284023668639062,8.192153846153847,0.1366376686390532,0.0,0.0,13.915231,0.32509,0,0,0,0,1,0
MALONE BRODY,USA,9,5.2,0.0,9.264666666666665,0.020355333333333392,0.0,0.0,14.464667,0.142676,0,0,0,0,0,1
MALONE BRODY,USA,13,5.930769230769229,0.017514792899408264,8.507384615384614,0.13952685207100593,0.0,0.0,14.438154,0.404708,0,0,1,0,0,0
MALONE BRODY,USA,17,6.18235294117647,0.09674740484429065,8.200823529411766,0.1275739100346021,0.0,0.0,14.383176,0.488176,0,1,0,0,0,0
KOVTUN ILLIA,UKR,28,5.996428571428572,0.0310586734693877,7.708678571428572,0.39669821811224476,0.06785714285714287,0.008609693877551021,13.63725,0.779039,1,0,0,0,0,0
KOVTUN ILLIA,UKR,27,6.033333333333333,0.05703703703703706,7.9508518518518505,0.22339168175583002,0.0,0.0,13.984185,0.54576,0,0,0,1,0,0
KOVTUN ILLIA,UKR,21,5.114285714285714,0.06693877551020411,7.963190476190476,0.15141453514739237,0.0,0.0,13.077476,0.441918,0,0,0,0,1,0
KOVTUN ILLIA,UKR,31,5.122580645161289,0.024973985431841886,8.902451612903226,0.24979805411030165,0.02258064516129032,0.0017481789802289282,14.002452,0.497658,0,0,0,0,0,1
KOVTUN ILLIA,UKR,33,6.433333333333334,0.03494949494949494,8.521848484848485,0.08926764370982554,0.0,0.0,14.955182,0.285876,0,0,1,0,0,0
KOVTUN ILLIA,UKR,28,5.689285714285712,0.06667091836734691,7.864,0.3303660714285714,0.010714285714285714,0.0030994897959183655,13.542571,0.64664,0,1,0,0,0,0
MIKULAK SAMUEL,USA,3,6.066666666666666,0.035555555555555625,7.888333333333333,0.2852642222222222,0.0,0.0,13.955,0.722664,1,0,0,0,0,0
MIKULAK SAMUEL,USA,3,5.566666666666666,0.0022222222222222066,8.222,0.012167999999999998,0.0,0.0,13.788667,0.157452,0,0,0,1,0,0
MIKULAK SAMUEL,USA,3,5.3,0.0,8.455,0.024642000000000025,0.0,0.0,13.755,0.156981,0,0,0,0,1,0
MIKULAK SAMUEL,USA,2,5.2,0.0,9.133,0.04000000000000007,0.0,0.0,14.333,0.200002,0,0,0,0,0,1
MIKULAK SAMUEL,USA,4,6.4,0.0,8.808,0.05076949999999983,0.0,0.0,15.208,0.225323,0,0,1,0,0,0
MIKULAK SAMUEL,USA,3,6.033333333333334,0.0022222222222222066,7.088333333333334,0.09886422222222242,0.0,0.0,13.121667,0.361569,0,1,0,0,0,0
GISCHARD BENJAMIN,SUI,3,6.0,0.0,8.277333333333333,0.0002568888888888994,0.0,0.0,14.277333,0.016059,1,0,0,0,0,0
GISCHARD BENJAMIN,SUI,3,5.599999999999999,7.888609052210118e-31,8.177333333333333,0.006197555555555542,0.0,0.0,13.777333,0.078731,0,0,0,1,0,0
GISCHARD BENJAMIN,SUI,3,5.3,0.0,8.066333333333333,0.0022222222222222066,0.0,0.0,13.366333,0.047151,0,0,0,0,1,0
GISCHARD BENJAMIN,SUI,2,5.2,0.0,9.033,0.0044890000000000225,0.0,0.0,14.233,0.067007,0,0,0,0,0,1
