Name,Country,Matches Participated,Average D_Score,D_Score Variance,Average E_Score,E_Score Variance,Average Penalty,Penalty Variance,Mean,Std,Apparatus_BB,Apparatus_FX,Apparatus_UE,Apparatus_VT
AKHAIMOVA LILIIA,ROC,7,5.742857142857143,0.008163265306122464,8.970857142857144,0.0036304081632653313,0.014285714285714287,0.0012244897959183677,14.713714,0.05298,0,0,0,1
ANDRADE REBECA,BRA,13,5.86153846153846,0.014674556213017746,7.692000000000001,0.16635153846153858,0.007692307692307693,0.0007100591715976332,13.545846,0.435509,1,0,0,0
ANDRADE REBECA,BRA,12,5.9750000000000005,0.025208333333333267,8.21625,0.03803618750000004,0.06666666666666667,0.017222222222222226,14.124333,0.275427,0,1,0,0
ANDRADE REBECA,BRA,14,6.107142857142857,0.01923469387755102,8.151,0.16006657142857156,0.0,0.0,14.258143,0.48743,0,0,1,0
ANDRADE REBECA,BRA,21,5.438095238095237,0.3985487528344671,9.383857142857142,0.05965174149659872,0.01904761904761905,0.001541950113378685,14.807667,0.801467,0,0,0,1
ASHIKAWA URARA,JPN,7,5.8,0.020000000000000035,8.009142857142859,0.03923726530612246,0.0,0.0,13.808714,0.302828,1,0,0,0
BILES SIMONE,USA,11,6.381818181818182,0.028760330578512416,8.01790909090909,0.09439862809917368,0.0,0.0,14.399727,0.310179,1,0,0,0
BILES SIMONE,USA,10,6.709999999999999,0.006899999999999988,8.046399999999998,0.07961603999999997,0.10999999999999999,0.0169,14.6464,0.415905,0,1,0,0
BILES SIMONE,USA,10,6.0600000000000005,0.008400000000000015,8.2897,0.021565209999999946,0.0,0.0,14.3497,0.197793,0,0,1,0
BILES SIMONE,USA,14,5.885714285714286,0.16408163265306144,9.250857142857143,0.10400026530612251,0.23571428571428574,0.049438775510204085,14.922286,0.460021,0,0,0,1
BLACK ELSABETH,CAN,10,5.91,0.10689999999999997,7.766300000000001,0.02599341000000004,0.0,0.0,13.6757,0.374331,1,0,0,0
BLACK ELSABETH,CAN,8,5.2125,0.028593750000000022,7.674625,0.3440202343749998,0.037500000000000006,0.0023437500000000003,12.849625,0.473949,0,1,0,0
BLACK ELSABETH,CAN,9,5.677777777777778,0.037283950617283936,7.696111111111112,0.3316120987654323,0.0,0.0,13.373889,0.694848,0,0,1,0
BLACK ELSABETH,CAN,17,5.023529411764706,0.041799307958477576,9.029058823529411,0.018194996539792358,0.0,0.0,14.052588,0.290747,0,0,0,1
BOYER MARINE,FRA,18,5.627777777777778,0.022006172839506136,7.703333333333333,0.21965333333333337,0.0,0.0,13.331111,0.494175,1,0,0,0
BOYER MARINE,FRA,15,4.973333333333334,0.019288888888888862,7.8397333333333314,0.055996195555555565,0.04666666666666667,0.006488888888888889,12.7664,0.304533,0,1,0,0
BOYER MARINE,FRA,7,4.728571428571429,0.17346938775510204,6.9951428571428576,0.6285986938775514,0.0,0.0,11.723714,1.151125,0,0,1,0
BOYER MARINE,FRA,6,4.333333333333333,0.03555555555555546,9.105166666666667,0.003103138888888862,0.0,0.0,13.4385,0.214667,0,0,0,1
BRASSART MAELLYSE,BEL,11,5.045454545454546,0.13884297520661157,7.246727272727274,0.7173449256198343,0.0,0.0,12.292182,1.000352,1,0,0,0
BRASSART MAELLYSE,BEL,10,4.81,0.024900000000000068,7.7913,0.15804121000000002,0.01,0.0009,12.5913,0.394667,0,1,0,0
BRASSART MAELLYSE,BEL,12,5.3500000000000005,0.04916666666666667,7.646750000000001,0.4445443541666669,0.0,0.0,12.99675,0.727865,0,0,1,0
BRASSART MAELLYSE,BEL,11,4.527272727272728,0.28561983471074387,8.884454545454544,0.058328247933884296,0.03636363636363637,0.002314049586776859,13.375364,0.32844,0,0,0,1
BUI KIM,GER,5,4.82,0.001600000000000017,7.866200000000001,0.0017689600000000004,0.0,0.0,12.6862,0.07773,1,0,0,0
BUI KIM,GER,6,5.3,0.0,7.810833333333334,0.015482805555555604,0.0,0.0,13.110833,0.124434,0,1,0,0
BUI KIM,GER,7,5.828571428571428,0.013469387755102093,8.123285714285714,0.018010489795918398,0.0,0.0,13.951857,0.244205,0,0,1,0
BUI KIM,GER,5,4.4399999999999995,0.0383999999999999,8.9128,0.006040960000000062,0.0,0.0,13.3528,0.14825,0,0,0,1
CALLUM MC GRACE,USA,3,5.366666666666667,0.05555555555555555,7.899333333333334,0.002222222222222246,0.0,0.0,13.266,0.282844,1,0,0,0
CALLUM MC GRACE,USA,3,5.599999999999999,7.888609052210118e-31,7.977333333333334,0.000256888888888886,0.10000000000000002,1.925929944387236e-34,13.477333,0.016059,0,1,0,0
CALLUM MC GRACE,USA,3,5.8,0.0,8.166666666666668,0.035555555555555625,0.0,0.0,13.966667,0.188564,0,0,1,0
CALLUM MC GRACE,USA,2,5.4,0.0,9.0665,0.004422249999999941,0.05,0.0025000000000000005,14.4165,0.116504,0,0,0,1
CAREY JADE,USA,13,5.5,0.044615384615384585,7.329307692307693,0.2860240591715977,0.007692307692307693,0.0007100591715976331,12.821615,0.58469,1,0,0,0
CAREY JADE,USA,12,6.058333333333334,0.027430555555555514,7.870583333333335,0.04991907638888892,0.041666666666666664,0.007430555555555552,13.91175,0.344965,0,1,0,0
CAREY JADE,USA,9,5.488888888888889,0.04098765432098764,7.912777777777778,0.15000595061728395,0.0,0.0,13.401667,0.580355,0,0,1,0
CAREY JADE,USA,21,5.452380952380951,0.3253514739229024,9.079190476190476,0.050780820861678046,0.1,0.1809523809523809,14.431571,0.756035,0,0,0,1
CASTRO SIMONA,CHI,2,3.9,0.0,6.333,0.0,0.0,0.0,10.2165,0.01653,0,1,0,0
CHILES JORDAN,USA,13,5.407692307692309,0.03147928994082835,7.226615384615385,0.7537422366863903,0.0,0.0,12.634308,0.83337,1,0,0,0
CHILES JORDAN,USA,15,5.773333333333334,0.01662222222222227,7.840933333333333,0.209227528888889,0.05333333333333333,0.02248888888888888,13.560933,0.574855,0,1,0,0
CHILES JORDAN,USA,16,5.762499999999999,0.029843750000000027,7.78,0.2605049999999999,0.0,0.0,13.5425,0.635334,0,0,1,0
CHILES JORDAN,USA,22,5.0,0.03272727272727278,9.286954545454547,0.0180284070247934,0.004545454545454546,0.0004338842975206612,14.282409,0.256744,0,0,0,1
CHUSOVITINA OKSANA,UZB,42,4.428571428571429,0.20680272108843537,8.65847619047619,0.07621877324263038,0.021428571428571432,0.003112244897959184,13.065619,0.464117,0,0,0,1
CHUSOVITINA OKSANA,UZB,2,4.3,0.0,6.8165,0.04687225000000016,0.0,0.0,11.1165,0.216502,1,0,0,0
CHUSOVITINA OKSANA,UZB,2,4.05,0.0024999999999999823,7.55,0.0625,0.0,0.0,11.6,0.300002,0,1,0,0
CHUSOVITINA OKSANA,UZB,3,3.733333333333333,0.02888888888888887,7.221666666666667,0.1573308888888887,0.09999999999999999,0.02,10.855,0.699459,0,0,1,0
D AMATO ALICE,ITA,12,5.3500000000000005,0.015833333333333352,7.338666666666666,0.16719572222222204,0.0,0.0,12.688667,0.457326,1,0,0,0
D AMATO ALICE,ITA,20,5.250000000000001,0.031500000000000056,8.003049999999998,0.055620847499999994,0.025,0.002875000000000001,13.22805,0.260181,0,1,0,0
D AMATO ALICE,ITA,21,6.104761904761904,0.018548752834467094,8.037809523809525,0.2362785351473923,0.0,0.0,14.142571,0.550196,0,0,1,0
D AMATO ALICE,ITA,14,5.114285714285714,0.03265306122448986,9.006857142857141,0.02846583673469391,0.0,0.0,14.121143,0.181134,0,0,0,1
D AMATO ASIA,ITA,8,5.4125,0.016093749999999983,7.779,0.13967849999999984,0.0,0.0,13.1915,0.370335,1,0,0,0
D AMATO ASIA,ITA,7,5.171428571428571,0.027755102040816364,7.518571428571429,0.26105853061224493,0.17142857142857143,0.022040816326530616,12.518571,0.801197,0,1,0,0
D AMATO ASIA,ITA,7,5.828571428571428,0.02204081632653059,8.137857142857143,0.015341551020408172,0.0,0.0,13.966429,0.087129,0,0,1,0
D AMATO ASIA,ITA,18,4.933333333333334,0.10222222222222227,8.879388888888888,0.02522468209876542,0.016666666666666666,0.004722222222222221,13.796056,0.400668,0,0,0,1
DARIES NAVEEN,RSA,9,4.622222222222222,0.048395061728395077,5.992444444444445,1.1617355802469136,0.0,0.0,10.611,0.978602,1,0,0,0
DARIES NAVEEN,RSA,9,4.599999999999999,0.04444444444444447,7.601666666666666,0.059541777777777805,0.13333333333333336,0.017777777777777774,12.046111,0.400579,0,1,0,0
DARIES NAVEEN,RSA,9,4.933333333333334,0.015555555555555517,6.933,0.5606124444444445,0.0,0.0,11.866333,0.818218,0,0,1,0
DARIES NAVEEN,RSA,13,4.153846153846154,0.062485207100591696,8.724230769230768,0.015774485207100612,0.007692307692307693,0.0007100591715976332,12.870385,0.272441,0,0,0,1
DEREK ANA,CRO,8,5.3125,0.06359374999999999,7.5915,0.16021949999999996,0.0,0.0,12.904,0.575458,1,0,0,0
DEREK ANA,CRO,8,5.1000000000000005,0.024999999999999998,7.872625,0.02138273437500003,0.0375,0.00984375,12.935125,0.237222,0,1,0,0
DERWAEL NINA,BEL,6,5.433333333333334,0.005555555555555516,8.082666666666666,0.18805555555555534,0.0,0.0,13.516,0.45369,1,0,0,0
DERWAEL NINA,BEL,5,4.96,0.006400000000000012,8.539400000000002,0.0028302400000000377,0.0,0.0,13.4994,0.084281,0,1,0,0
DERWAEL NINA,BEL,8,6.6,0.030000000000000054,8.5705,0.013407749999999972,0.0,0.0,15.1705,0.278404,0,0,1,0
ELPITIYA BADALGE DONA MILKA GEHANI,SRI,4,4.875,0.031874999999999924,5.758,0.3622640000000001,0.0,0.0,10.633,0.569684,1,0,0,0
ELPITIYA BADALGE DONA MILKA GEHANI,SRI,4,4.275,0.48187500000000005,6.779,0.6203730000000003,1.2,3.2149999999999994,9.854,1.899737,0,1,0,0
ELPITIYA BADALGE DONA MILKA GEHANI,SRI,4,4.675,0.01687499999999999,5.94975,0.8282361875000002,0.0,0.0,10.62475,1.023523,0,0,1,0
ELPITIYA BADALGE DONA MILKA GEHANI,SRI,2,4.4,0.0,8.5165,0.00027224999999999136,0.05,0.0025000000000000005,12.8665,0.066508,0,0,0,1
ERICHSEN JULIE,NOR,6,5.016666666666667,0.021388888888888877,7.205000000000001,0.1676716666666667,0.0,0.0,12.221667,0.429451,0,0,1,0
ERICHSEN JULIE,NOR,8,3.675,0.09937500000000007,8.407875,0.17377435937500005,0.0,0.0,12.082875,0.561444,0,0,0,1
FAN YILIN,CHN,2,6.35,0.0025000000000000265,7.9,0.16000000000000028,0.0,0.0,14.25,0.350001,0,0,1,0
FERRARI VANESSA,ITA,4,5.875000000000001,0.00187500000000002,8.283000000000001,0.00028900000000001185,0.0,0.0,14.158,0.036263,0,1,0,0
