LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,2,6.200,8.633,0,14.833
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,1,6.500,8.666,0,15.166
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,12,5.300,8.233,0,13.533
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,4,5.600,9.200,-0.1,14.700
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,4,6.200,9.100,0,15.300
HASHIMOTO,Daiki,m,JPN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,1,6.500,8.433,0,14.933
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,3,6.200,8.500,0,14.700
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,3,6.100,8.600,0,14.700
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,3,6.000,8.533,0,14.533
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,4,5.600,9.200,-0.1,14.700
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,3,6.400,8.966,0,15.366
XIAO,Ruoteng,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,9,6.000,8.366,-0.3,14.066
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,7,6.200,8.433,-0.2,14.433
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,5,6.100,8.166,0,14.266
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,1,6.000,8.666,0,14.666
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,2,5.600,9.300,0,14.900
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,1,6.400,9.000,0,15.400
NAGORNYY,Nikita,m,ROC,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,7,6.000,8.366,0,14.366
SUN,Wei,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,5,6.000,8.500,0,14.500
SUN,Wei,m,CHN,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,2,6.300,8.666,0,14.966
