LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
DOLGOPYAT,Artem,m,ISR,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,1,6.600,8.433,0,14.933
ZAPATA,Rayderley,m,ESP,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,2,6.500,8.433,0,14.933
XIAO,Ruoteng,m,CHN,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,3,6.200,8.566,0,14.766
RYU,Sunghyun,m,KOR,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,4,7.000,7.533,0,14.233
KARIMI,Milad,m,KAZ,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,5,6.400,8.033,0,14.133
MOLDAUER,Yul,m,USA,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,6,5.400,8.133,0,13.533
NAGORNYY,Nikita,m,ROC,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,7,6.400,6.966,0,13.066
KIM,Hansol,m,KOR,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",FX,8,6.300,6.766,0,13.066
HASHIMOTO,Daiki,m,JPN,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,1,6.500,8.566,0,15.066
SRBIC,Tin,m,CRO,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,2,6.500,8.400,0,14.900
NAGORNYY,Nikita,m,ROC,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,3,6.000,8.533,0,14.533
MALONE,Brody,m,USA,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,4,6.500,7.700,0,14.200
BULL,Tyson,m,AUS,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,5,5.800,6.666,0,12.466
KITAZONO,Takeru,m,JPN,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,6,6.100,6.233,0,12.333
DEURLOO,Bart,m,NED,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,7,5.600,6.666,0,12.266
KARIMI,Milad,m,KAZ,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",HB,8,5.000,6.266,0,11.266
ZOU,Jingyuan,m,CHN,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,1,6.900,9.333,0,16.233
DAUSER,Lukas,m,GER,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,2,6.700,9.000,0,15.700
ARICAN,Ferhat,m,TUR,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,3,7.000,8.633,0,15.633
YOU,Hao,m,CHN,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,4,6.900,8.566,0,15.466
BELYAVSKIY,David,m,ROC,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,5,6.600,8.600,0,15.200
MIKULAK,Samuel,m,USA,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,6,6.400,8.600,0,15.000
PAKHNIUK,Petro,m,UKR,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,7,6.100,8.433,0,14.533
FRASER,Joe,m,GBR,TUE 3 AUG 2021,Olympic Games,final,"Tokyo, Japan",PB,8,6.100,8.400,0,14.500
WHITLOCK,Max,m,GBR,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,1,7.000,8.583,0,15.583
LEE Chih,Kai,m,TPE,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,2,6.700,8.700,0,15.400
KAYA,Kazuma,m,JPN,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,3,6.600,8.300,0,14.900
BELYAVSKIY,David,m,ROC,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,4,6.400,8.433,0,14.833
KAMEYAMA,Kohei,m,JPN,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,5,6.800,7.800,0,14.600
YODER,Alec,m,USA,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,6,6.400,8.166,0,14.566
Mc CLENAGHAN,Rhys,m,IRL,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,7,6.400,6.700,0,13.100
SUN,Wei,m,CHN,SUN 1 AUG 2021,Olympic Games,final,"Tokyo, Japan",PH,8,6.300,6.766,0,13.066
LIU,Yang,m,CHN,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,1,6.500,9.000,0,15.500
YOU,Hao,m,CHN,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,2,6.600,8.700,0,15.300
PETROUNIAS,Eleftherios,m,GRE,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,3,6.300,8.900,0,15.200
AIT SAID,Samir,m,FRA,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,4,6.300,8.600,0,14.900
COLAK,Ibrahim,m,TUR,MON 2 AUG 2021,Olympic Games,final,"Tokyo, Japan",SR,5,6.200,8.666,0,14.866
