team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['WISKUS SHANE', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'JUDA PAUL', 'WHITTENBURG DONNELL']",3.4736328125,2.738307024376833,3.4736328125,1,1
"['MOLDAUER YUL KYUNG TAE', 'WISKUS SHANE', 'DIAB ALEX', 'HALE DALLAS', 'BRIONES BRANDON']",3.4638671875,3.2518700742302054,3.4736328125,2,1
"['LOOS RILEY', 'DIAB ALEX', 'HALE DALLAS', 'MOLDAUER YUL', 'GUIMARAES VITALIY']",3.302734375,2.5006376771749754,3.4736328125,3,1
"['WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT', 'YODER ALEC', 'JUDA PAUL']",2.8232421875,2.2707789207600197,3.4736328125,4,1
"['YOUNG KHOI ALEXANDER', 'WALKER COLT', 'NGUYEN BRANDON', 'LOOS RILEY', 'BRIONES BRANDON']",2.5263671875,1.5125005727639296,3.4736328125,5,1
"['HONG ASHER', 'DIAB ALEX', 'GUIMARAES VITALIY', 'MOLDAUER YUL', 'LOOS RILEY']",1.783203125,2.5160030241935485,3.4736328125,6,1
"['LOOS RILEY', 'HONG ASHER', 'RICHARD FREDERICK NATHANIEL', 'BOLD CREW', 'WALKER COLT']",1.046875,1.8726783968719452,3.4736328125,7,1
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",0.9775390625,1.7521831851783969,3.4736328125,8,1
"['YOUNG KHOI ALEXANDER', 'WISKUS SHANE', 'NEDOROSCIK STEPHEN', 'MIKULAK SAMUEL', 'MOLDAUER YUL']",0.6875,1.2160312805474096,3.4736328125,9,1
"['HONG ASHER', 'NGUYEN BRANDON', 'JUDA PAUL', 'BOLD CREW', 'MOLDAUER YUL KYUNG TAE']",0.37890625,0.7732007575757576,3.4736328125,10,1
"['RICHARD FREDERICK NATHANIEL', 'WHITTENBURG DONNELL', 'BRIONES BRANDON', 'HALE DALLAS', 'YODER ALEC']",0.3349609375,0.6726377306329423,3.4736328125,11,1
"['GUIMARAES VITALIY', 'NGUYEN BRANDON', 'HONG ASHER', 'LOOS RILEY', 'SKIRKEY IAN HUNTER']",0.244140625,0.493611772971652,3.4736328125,12,1
"['WISKUS SHANE', 'BRIONES BRANDON', 'WALKER COLT', 'YODER ALEC', 'JUDA PAUL']",4.2607421875,3.9485648445136854,4.2607421875,1,2
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",3.7451171875,3.1070142580034212,4.2607421875,2,2
"['YOUNG KHOI ALEXANDER', 'WISKUS SHANE', 'NEDOROSCIK STEPHEN', 'MIKULAK SAMUEL', 'MOLDAUER YUL']",3.724609375,3.2085433467741935,4.2607421875,3,2
"['WISKUS SHANE', 'MALONE BRODY', 'NEDOROSCIK STEPHEN', 'JUDA PAUL', 'WHITTENBURG DONNELL']",3.6416015625,3.0884337961265884,4.2607421875,4,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MALONE BRODY', 'MOLDAUER YUL', 'WISKUS SHANE']",3.4560546875,2.5259261592741935,4.2607421875,5,2
"['MALONE BRODY', 'MOLDAUER YUL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE', 'YODER ALEC']",3.3603515625,2.6608311568304006,4.2607421875,6,2
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",2.8173828125,1.8151032120601174,4.2607421875,7,2
"['DIAB ALEX', 'MIKULAK SAMUEL', 'MOLDAUER YUL', 'MOLDAUER YUL KYUNG TAE', 'NEDOROSCIK STEPHEN']",2.80078125,2.177281891495601,4.2607421875,8,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MOLDAUER YUL', 'WALKER COLT', 'YODER ALEC']",2.76953125,2.2009866813294234,4.2607421875,9,2
"['BRIONES BRANDON', 'DIAB ALEX', 'HALE DALLAS', 'JUDA PAUL', 'WISKUS SHANE']",2.40625,1.7096774193548387,4.2607421875,10,2
"['HONG ASHER', 'JUDA PAUL', 'MIKULAK SAMUEL', 'NEDOROSCIK STEPHEN', 'WISKUS SHANE']",2.0068359375,3.2775680825391005,4.2607421875,11,2
"['BRIONES BRANDON', 'JUDA PAUL', 'MOLDAUER YUL KYUNG TAE', 'WHITTENBURG DONNELL', 'WISKUS SHANE']",1.3779296875,2.0456903332722387,4.2607421875,12,2
"['MALONE BRODY', 'MOLDAUER YUL', 'WHITTENBURG DONNELL', 'WISKUS SHANE', 'YODER ALEC']",3.91796875,3.1565096529814274,3.91796875,1,3
"['MOLDAUER YUL', 'MALONE BRODY', 'YODER ALEC', 'WISKUS SHANE', 'NGUYEN BRANDON']",3.8876953125,3.528919805413001,3.91796875,2,3
